scope,check,n,min_slack,tol,passed,max_fraction_of_bound
N=2,metric_triangle,500,0.0013431690110667915,1e-07,1,
N=2,absorption,500,6.802128102856297e-05,1e-12,1,
N=4,metric_triangle,500,0.5898330059107282,1e-07,1,
N=4,absorption,500,0.0004042991783232974,1e-12,1,
N=8,metric_triangle,500,1.1168212532912407,1e-07,1,
N=8,absorption,500,0.0005420902128349114,1e-12,1,
ctrl1,polytope,60,0.0009827015423039542,1e-12,1,
ctrl1,lipschitz_pairs,30,0.0007510792592787306,1e-12,1,
ctrl1,tv_slope,185,2.696617256171155,1e-09,1,0.105810894358703
ctrl1:H0,constant_margin,101,7.323481198140414e-07,2e-06,1,
ctrl1:H0,fs_angle,25,0.039219587896218155,1e-09,1,
ctrl1:H0,trajectory_certificate,62,0.0008605063638800203,2.858632883804854e-14,1,
ctrl1:H1,constant_margin,101,8.696402364893885e-07,2e-06,1,
ctrl1:H1,fs_angle,25,0.03703698615107418,1e-09,1,
ctrl1:H1,trajectory_certificate,62,0.0008334708361977805,2.858632883804854e-14,1,
ctrl1:H2,constant_margin,101,9.203323829698462e-07,2e-06,1,
ctrl1:H2,fs_angle,25,0.039564110811547315,1e-09,1,
ctrl1:H2,trajectory_certificate,62,0.0008278148549839548,2.858632883804854e-14,1,
ctrl2,polytope,60,0.000982083762477437,1e-12,1,
ctrl2,lipschitz_pairs,30,0.0006192669818098149,1e-12,1,
ctrl2,tv_slope,180,2.7851272482761145,1e-09,1,0.134307004377916
ctrl2:H0,constant_margin,101,6.369760242597167e-07,2e-06,1,
ctrl2:H0,fs_angle,25,0.03832163428002491,1e-09,1,
ctrl2:H0,trajectory_certificate,62,0.0008444140674341849,2.7666372580337197e-14,1,
ctrl2:H1,constant_margin,101,7.974081192019256e-07,2e-06,1,
ctrl2:H1,fs_angle,25,0.03712950875512312,1e-09,1,
ctrl2:H1,trajectory_certificate,62,0.0008738531344893996,2.7666372580337197e-14,1,
ctrl2:H2,constant_margin,101,8.974933503047566e-07,2e-06,1,
ctrl2:H2,fs_angle,25,0.03543164718739232,1e-09,1,
ctrl2:H2,trajectory_certificate,62,0.0008737704626560205,2.7666372580337197e-14,1,
ctrl3,polytope,60,0.0009730091248193462,1e-12,1,
ctrl3,lipschitz_pairs,30,0.0007184482571323047,1e-12,1,
ctrl3,tv_slope,188,3.028988391411345,1e-09,1,0.11293828498888264
ctrl3:H0,constant_margin,101,6.05495653949184e-07,2e-06,1,
ctrl3:H0,fs_angle,25,0.03888573052265535,1e-09,1,
ctrl3:H0,trajectory_certificate,62,0.0008143353825912358,3.339090787335287e-14,1,
ctrl3:H1,constant_margin,101,8.701613996020541e-07,2e-06,1,
ctrl3:H1,fs_angle,25,0.036205087344383956,1e-09,1,
ctrl3:H1,trajectory_certificate,62,0.0008402250258814359,3.339090787335287e-14,1,
ctrl3:H2,constant_margin,101,9.011416183257737e-07,2e-06,1,
ctrl3:H2,fs_angle,25,0.03701625916364253,1e-09,1,
ctrl3:H2,trajectory_certificate,62,0.0008835308664085773,3.339090787335287e-14,1,
ctrl4,polytope,60,0.0009767610021659268,1e-12,1,
ctrl4,lipschitz_pairs,30,0.0008200003753336947,1e-12,1,
ctrl4,tv_slope,183,2.305942591571242,1e-09,1,0.12751231705146976
